name,slug,description,address_line1,address_line2,city,postcode,latitude,longitude,phone,website,email,founded_year,facebook,price_range,is_active,mon_hours,tue_hours,wed_hours,thu_hours,fri_hours,sat_hours,sun_hours,feat_eat_in,feat_takeaway,feat_card_payments,feat_jellied_eels,feat_vegetarian,photo_url_1,photo_url_2,photo_url_3,notes
Arments - Walworth,arments-walworth,"Arments has been serving authentic pie, mash and eels to London locals since 1914 and even have been awarded a prestigous blue plaque to celebrate this. 
They have been using the same recipe  during this time that keeps people coming through their doors every day.",7-9 Westmoreland Road,,London,SE17 2AX,51.484334,-0.092593,020 7703 4974,https://armentspieandmash.com,mail@armentspieandmash.com,1914,https://www.facebook.com/ArmentsPieandMash,,,CLOSED,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 17:00,CLOSED,,,,,,,,,
Arthur's - Great Yarmouth,arthurs-great yarmouth,"Arthurs, serving tradional pie and mash to the people of Great Yarmouth.
Pies are supplied by F Cooke's in Bishops Stortford with the mash and liqour made on site by the owner Matt.",75 Howard Street South,,Great Yarmouth,NR30 2PU,52.606205,1.725957,07511 961613,,,,https://www.facebook.com/profile.php?id=100093424249416,,,CLOSED,10:30 - 17:30,10:30 - 17:30,10:30 - 17:30,10:30 - 17:30,10:30 - 17:30,CLOSED,,,,,,,,,
Barney's - Walthamstow,barneys-walthamstow,"Opened in 2018 Barney's is run by Tommy who has been dishing up quality pie, mash and liquor to the locals of Wallthamstow and those futher afield since he had enough of the plumbing business.  ",6 Garnett Way,,London,E17 5PE,51.599534,-0.035138,020 3581 1677,,barneys2017@outlook.com,2018,https://www.facebook.com/profile.php?id=100031484991443,,,11:00 - 18:00,11:00 - 18:00,CLOSED,11:00 - 18:00,11:00 - 18:00,11:00 - 16:00,CLOSED,,,,,,,,,
Bert's - Wickford,berts-wickford,Bert's pie and mash at the Duke Public House,"The Duke Public House, High Street",,Wickford,SS12 9AT,51.61169,0.520386,07354 575536,,bertspieandmash@mail.co.uk,,,,,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,12:00-20:00,,,,,,,,,
BJ's - Canning Town,bjs-canning town,"Owned by Nathan, a member of the Jacobie family, who have been in the trade for 50 years.
Pie, mash and liquor made fresh on the premises every day.",330 Barking Road,,London,E13 8HL,51.521147,0.020848,020 7474 3389,,,,,,,CLOSED,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,CLOSED,,,,,,,,,
Spudsy Malone - Southend,spudsy-malone-southend,Previously run under the name 'Brickies' by ex-bracklayer Jonny Malone. Everything freshly cooked on the premises every day.,"Victoria shopping center (LGF), 26 Talza Way",Chichester Rd,Southend-on-Sea,SS2 5BG,51.540665,0.712864,01702 617477,,,,,,,,,,,,,,,,,,,,,,
Brooke - Dagenham,brooke-dagenham,"A traditional East End pie, mash and ell house serving the locals of Dagenham for over 20 years.",833 Dagenham Road,,Dagenham,RM10 7UP,51.552335,0.164488,020 8593 5039,,,,https://www.facebook.com/Brookpiemash,,,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,10:30 - 16:00,,,,,,,,,
Bush - Shepherds Bush,bush-shepherds-bush,"Bush pie, mash and liquor is a family run business serving freshly made fayre on the premises.",191D Uxbridge Road,,London,W12 9RA,51.506296,-0.238197,020 3876 5318,,,,https://www.facebook.com/bushpieandmash/,,,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,,,,,,,,,
Castles - Camden,castles-camden,"Founded in 1920 by Lil Castle, a short walk from Camden Market.",229 Royal College Street,,London,NW1 9LT,51.54241,-0.139126,020 7485 2196,,,1920,,,,CLOSED,11:00 - 17:30,11:00 - 17:30,11:00 - 17:30,11:00 - 17:30,10:30 - 16:00,CLOSED,,,,,,,,,
Cathedral Pie Shop - Rochester,cathedral-pie-shop-rochester,"Lovely little shop in this historic city.  Pie, mash and liquor made fresh on the premises every day.",146 High Street,,Rochester,ME1 1ER,51.38707,0.505995,07932 865835,,,2017,https://www.facebook.com/profile.php?id=100057126832777#,,,CLOSED,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,11:00 - 17:00,CLOSED,,,,,,,,,
